"","State","State_Abb","Total.Population..2015","Total.Population..2010","Total.Population..2000","Population.Change..2000.2010....","Median.Age","Population.Density.per.Square.Mile","Median.Household.Income....Dollars.","Per.Capita.Personal.Income....Dollars.","Poverty.Rate....","Quality.of.Patient.Care.Star.Rating","How.often.the.home.health.team.began.their.patients..care.in.a.timely.manner","How.often.the.home.health.team.taught.patients..or.their.family.caregivers..about.their.drugs","How.often.the.home.health.team.checked.patients..risk.of.falling","How.often.the.home.health.team.checked.patients.for.depression","How.often.the.home.health.team.made.sure.that.their.patients.have.received.a.flu.shot.for.the.current.flu.season.","How.often.the.home.health.team.made.sure.that.their.patients.have.received.a.pneumococcal.vaccine..pneumonia.shot..","With.diabetes..how.often.the.home.health.team.got.doctor.s.orders..gave.foot.care..and.taught.patients.about.foot.care.","How.often.the.home.health.team.checked.patients.for.pain","How.often.the.home.health.team.treated.their.patients..pain","How.often.the.home.health.team.treated.heart.failure..weakening.of.the.heart..patients..symptoms","How.often.the.home.health.team.took.doctor.ordered.action.to.prevent.pressure.sores..bed.sores.","How.often.the.home.health.team.included.treatments.to.prevent.pressure.sores..bed.sores..in.the.plan.of.care","How.often.the.home.health.team.checked.patients.for.the.risk.of.developing.pressure.sores..bed.sores.","How.often.patients.got.better.at.walking.or.moving.around","How.often.patients.got.better.at.getting.in.and.out.of.bed","How.often.patients.got.better.at.bathing","How.often.patients.had.less.pain.when.moving.around","How.often.patients..breathing.improved","How.often.patients..wounds.improved.or.healed.after.an.operation","How.often.patients.got.better.at.taking.their.drugs.correctly.by.mouth","How.often.home.health.patients.had.to.be.admitted.to.the.hospital","How.often.patients.receiving.home.health.care.needed.urgent..unplanned.care.in.the.ER.without.being.admitted","Number.of.America.s.Byways","Number.of.National.Parks","Number.of.National.Historic.Landmarks","National.Register.of.Historic.Places.Listings","State.Arts.Agency.Appropriations.Per.Capita","Percent.of.Households.with.Broadband.Internet","Arts..Entertainment..Sports.and.Media.Employment.per.1000","Well.Being.Index","Total.Professionally.Active.Physicians.per.1000.Population"
"1","Alabama","AL",4858979,4779736,4447100,"7.5%",38.6,95.2,"$42830","$37512","19.3%","3.5","93.8%","94.2%","97.5%","98.7%","67.8%","68.9%","95.6%","99.5%","98.2%","98.2%","96.8%","98.2%","99.5%","69.5%","61.9%","74.2%","71.1%","70.3%","90.1%","59.9%","17.1%","12%",4,7,38,1275,"$0.83","65.8%",8.49,61.8,2.28
"2","Alaska","AK",738432,710231,626932,"13.3%",33.3,1.3,"$71583","$54012","11.2%","2.5","78.4%","93.4%","99.2%","94.5%","64.3%","68.3%","96.7%","97.7%","99.1%","97.6%","98.4%","97.1%","99.3%","51.6%","46%","56.9%","52.5%","58%","73.4%","39.6%","12.6%","18.2%",5,23,49,419,"$1.02","81.4%",10.55,64.1,2.34
"3","Arizona","AZ",6828065,6392017,5130632,"24.6%",36.9,57.7,"$50068","$37895","18.2%","3.5","91.9%","94.4%","98.9%","97%","70%","71%","96.2%","98.7%","99%","96.8%","97.8%","98.6%","98.7%","59.8%","57.6%","68.4%","64.9%","69.8%","86%","52%","14.7%","13.3%",5,22,45,1424,"$0.00","75.5%",12.24,63,2.42
"4","Arkansas","AR",2978204,2915918,2673400,"9.1%",37.8,56.7,"$41262","$37782","18.9%","3.0","93.6%","92%","98.9%","98%","70.7%","72.9%","94.9%","99.3%","98%","97.7%","96.6%","98.2%","99.2%","66.8%","62.5%","72.6%","67.1%","66.3%","90.4%","56.8%","17.4%","13.4%",3,7,16,2586,"$0.57","63.5%",7.35,60.9,2.18
"5","California","CA",39144818,37253956,33871648,"10.0%",36,244.2,"$61933","$49985","16.4%","3.5","90.4%","96%","99%","97.6%","71.4%","72.3%","96.3%","98.9%","99.1%","98.5%","98.2%","98.7%","98.5%","62.4%","57.9%","68.9%","72.5%","69%","91.5%","52.1%","14.5%","11.9%",7,27,145,2646,"$0.29","80%",19.19,62.7,2.59
"6","Colorado","CO",5456574,5029196,4301261,"16.9%",36.3,50.1,"$61303","$48869","12.0%","3.5","91%","92.6%","99.2%","96.9%","76.5%","77.8%","93.4%","98.6%","98.4%","96.4%","95.3%","96.7%","98.4%","64.9%","61.3%","71.9%","67%","71.7%","89.6%","54.1%","14.6%","14.3%",11,13,25,1480,"$0.42","81.2%",15.43,63.6,2.47
"7","Connecticut","CT",3590886,3574097,3405565,"4.9%",40.5,741.4,"$70048","$64864","10.8%","3.0","93.8%","94.1%","98.3%","97.1%","68.4%","67.3%","94.9%","97.3%","98%","97.3%","96%","95.3%","97.5%","61.5%","55.3%","64.1%","65.1%","65.3%","90.9%","50.5%","16.9%","12.5%",2,2,61,1592,"$1.68","80.5%",14.71,62.2,3.9
"8","Date of Data",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA
"9","Delaware","DE",945934,897934,783600,"14.6%",39.6,470.6,"$59716","$46378","12.5%","3.5","92.7%","92.2%","99.1%","97.9%","72.6%","68.1%","95.3%","98.5%","98.3%","96.4%","95.8%","97.5%","99.2%","63.2%","59.4%","67.3%","68.4%","71.1%","83.4%","53.6%","17%","11.5%",1,1,13,692,"$3.81","75.5%",8.51,61.9,3
"10","Florida","FL",20271272,18801310,15982378,"17.6%",41.6,360.2,"$47463","$42737","16.5%","3.5","94.7%","94.7%","99.1%","98.1%","65.5%","65.6%","93.9%","98.9%","98.7%","97.8%","96.4%","97.7%","98.8%","67.6%","62.1%","74.1%","73.6%","66.2%","91.5%","53.5%","15.7%","10.3%",6,11,45,1701,"$2.09","75.8%",11.56,62.4,2.51
"11","Georgia","GA",10214860,9687653,8186453,"18.3%",36.1,172.5,"$49321","$38980","18.3%","3.5","89.7%","93.7%","94.5%","98.1%","65.1%","65.7%","94.3%","98.9%","98.7%","97.9%","96.5%","96.9%","99.1%","65.2%","60.1%","68.9%","67.5%","68.5%","90.1%","55%","16.4%","14.1%",1,11,49,2105,"$0.09","73.4%",11.17,61.2,2.25
"12","Hawaii","HI",1431603,1360301,1211537,"12.3%",38.1,216.8,"$69592","$46034","11.4%","3.0","88.6%","95.4%","98.5%","95.4%","74.5%","80%","95.6%","97.3%","98.4%","98.3%","97.3%","95.7%","96.9%","59%","56.8%","67.1%","66.5%","72.2%","82.2%","47%","13.9%","14%",0,7,33,335,"$3.89","80.6%",15.15,64.8,2.54
